id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
550441174339944448,550441174339944448,2014-12-31 18:59:37 EST,2014-12-31,18:59:37,-0400,169143609,kiriindc,Kiri,"{'type': 'Point', 'coordinates': [39.6418811, -77.7200897]}",Waiting for the donut to drop!  http://t.co/k3R1SdP3Tr,en,[],[],['https://pbs.twimg.com/media/B6OPUq2CAAAKZ28.jpg'],0,0,0,[],[],https://twitter.com/KiriinDC/status/550441174339944448,False,,1,https://pbs.twimg.com/media/B6OPUq2CAAAKZ28.jpg,,"38.597626,-80.454903,200mi",,,,,[],,,,
550441037068795904,550441037068795904,2014-12-31 18:59:04 EST,2014-12-31,18:59:04,-0400,286720573,hailthequeen__,hailey,"{'type': 'Point', 'coordinates': [38.4208321, -78.69254859]}",Just found a bag of Salt and Vinegar chips in my purse I forgot about. #win,en,[],[],[],0,0,0,['win'],[],https://twitter.com/hailthequeen__/status/550441037068795904,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550440036052004865,550440036052004865,2014-12-31 18:55:05 EST,2014-12-31,18:55:05,-0400,80153598,christina1118_,✺christina✺,"{'type': 'Point', 'coordinates': [39.13701895, -77.41778148]}",Everyone is getting drunk tonight. Meanwhile I'm eating all the pizza🍕,en,[],[],[],0,0,3,[],[],https://twitter.com/Christina1118_/status/550440036052004865,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550439682635350016,550439682635350016,2014-12-31 18:53:41 EST,2014-12-31,18:53:41,-0400,26686734,burgerdays,Burger Days,"{'type': 'Point', 'coordinates': [38.86335412, -77.27462507]}",Riding out the rest of 2014 with that delicious crispy fried chicken from Bob Chon. @ BonChon Fairfax  http://t.co/HN22j2aacG,en,[],['http://instagram.com/p/xSk2eNNKGH/'],[],0,0,0,[],[],https://twitter.com/burgerdays/status/550439682635350016,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550438961005744128,550438961005744128,2014-12-31 18:50:49 EST,2014-12-31,18:50:49,-0400,602218780,nutterbutter84,Tyler Houmard,"{'type': 'Point', 'coordinates': [40.87320241, -81.46034136]}",Ordering pizza and sitting at home for the rest of the night! Happy New Years! #SoMuchFun,en,[],[],[],0,0,0,['somuchfun'],[],https://twitter.com/NutterButter84/status/550438961005744128,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550438236167086080,550438236167086080,2014-12-31 18:47:56 EST,2014-12-31,18:47:56,-0400,2237001174,josh_ammerman,Josh Ammerman,"{'type': 'Point', 'coordinates': [40.814469, -79.541613]}",I just got some free 7UP &amp; McDonald's from @PensPoints!   http://t.co/HXQ1iQD3ym,en,"[{'screen_name': 'penspoints', 'name': 'penspoints', 'id': '1110566857'}]",['http://www.pittsburghpenguins.com/penspoints'],[],0,0,0,[],[],https://twitter.com/josh_ammerman/status/550438236167086080,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550438124707676160,550438124707676160,2014-12-31 18:47:30 EST,2014-12-31,18:47:30,-0400,93038534,daquietcoolkid,🖖🏾King Squirrel🤖,"{'type': 'Point', 'coordinates': [39.42112494, -76.77841276]}","Lifesaver (@ Chick-fil-A in Owings Mills, MD)  https://t.co/0YVPAjuuCT",en,[],['https://www.swarmapp.com/c/6DuMUBTowdW'],[],0,0,0,[],[],https://twitter.com/DaQuieTCoolKid/status/550438124707676160,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550437645827186690,550437645827186690,2014-12-31 18:45:36 EST,2014-12-31,18:45:36,-0400,14063903,chrisseelbach,Chris Seelbach,"{'type': 'Point', 'coordinates': [39.10910948, -84.51177439]}","The large pizza at @goodfellaspizza is definitely ""large""!  http://t.co/0CFhcjvggI",en,"[{'screen_name': 'goodfellaspizza', 'name': 'teddy | blm', 'id': '3173810349'}]",[],['https://pbs.twimg.com/media/B6OMHTVIMAAfJCm.jpg'],0,2,3,[],[],https://twitter.com/ChrisSeelbach/status/550437645827186690,False,,1,https://pbs.twimg.com/media/B6OMHTVIMAAfJCm.jpg,,"38.597626,-80.454903,200mi",,,,,[],,,,
550436640897134592,550436640897134592,2014-12-31 18:41:36 EST,2014-12-31,18:41:36,-0400,727779374,blueshirtkid1,Josh Bryant,"{'type': 'Point', 'coordinates': [37.497844, -81.82379893]}","Baking Soda, I got Baking Soda",en,[],[],[],0,0,0,[],[],https://twitter.com/Blueshirtkid1/status/550436640897134592,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550435526403424256,550435526403424256,2014-12-31 18:37:10 EST,2014-12-31,18:37:10,-0400,489599912,cyg_andie,andie,"{'type': 'Point', 'coordinates': [39.28768932, -84.51540262]}",Why is there no fish and chips place around here,en,[],[],[],0,0,0,[],[],https://twitter.com/CYG_Andie/status/550435526403424256,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550428955938160641,550428955938160641,2014-12-31 18:11:04 EST,2014-12-31,18:11:04,-0400,9491152,imyourchuck,Charles Schelle,"{'type': 'Point', 'coordinates': [39.6420456, -77.72028638]}",In line for free doughnuts waiting for the Krumpe DoNut Drop #hagerstown #nye @ Hagerstown Downtown…  http://t.co/bGXyCM0Sio,en,[],['http://instagram.com/p/xSf-U9KljE/'],[],0,0,0,"['hagerstown', 'nye']",[],https://twitter.com/ImYourChuck/status/550428955938160641,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550428272576974849,550428272576974849,2014-12-31 18:08:21 EST,2014-12-31,18:08:21,-0400,457541377,mara_snyder,TheMaraMentality,"{'type': 'Point', 'coordinates': [41.23116547, -80.73428847]}","Cannot wait for tonight! Bringing in the New Year with some good people and pizza, what more could a girl ask for? 💕",en,[],[],[],0,0,0,[],[],https://twitter.com/mara_snyder/status/550428272576974849,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550427821387309057,550427821387309057,2014-12-31 18:06:33 EST,2014-12-31,18:06:33,-0400,730875636,_j_es_sic_a,celestial seasonings acab bear,"{'type': 'Point', 'coordinates': [40.0302981, -82.8908592]}",excited to start my food count in the new year. I'll be adding to the pizza category tonight!!! (-:,en,[],[],[],0,0,2,[],[],https://twitter.com/_j_es_sic_a/status/550427821387309057,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550427761320267777,550427761320267777,2014-12-31 18:06:19 EST,2014-12-31,18:06:19,-0400,2261849016,k_stilt2,kass❣,"{'type': 'Point', 'coordinates': [39.59985824, -84.25200738]}",I'll buy pizza for anyone that kisses me on New Years🍕,en,[],[],[],0,2,5,[],[],https://twitter.com/k_stilt2/status/550427761320267777,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550424263245979648,550424263245979648,2014-12-31 17:52:25 EST,2014-12-31,17:52:25,-0400,727392756,samuelj41944686,Sam Johnson,"{'type': 'Point', 'coordinates': [38.70335102, -77.3399732]}",Man I love fried chicken,en,[],[],[],0,0,1,[],[],https://twitter.com/samuelj41944686/status/550424263245979648,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550421642359619584,550421642359619584,2014-12-31 17:42:00 EST,2014-12-31,17:42:00,-0400,444202632,mickayyy___,makayla ❥,"{'type': 'Point', 'coordinates': [39.09432116, -76.98540872]}",I need pizza in my life rn 😭,en,[],[],[],0,1,0,[],[],https://twitter.com/mickayyy___/status/550421642359619584,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550418265034723328,550418265034723328,2014-12-31 17:28:35 EST,2014-12-31,17:28:35,-0400,2185329839,jilliaanwelsh,jill,"{'type': 'Point', 'coordinates': [40.33579992, -79.94622231]}","chick fil a, where you'll find the hottest boys ever😍😍😛😛",en,[],[],[],0,0,0,[],[],https://twitter.com/jilliaanwelsh/status/550418265034723328,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550417949937647617,550417949937647617,2014-12-31 17:27:20 EST,2014-12-31,17:27:20,-0400,193003673,mami_ria,Maria,"{'type': 'Point', 'coordinates': [38.95537289, -76.82352107]}","LeLe said ""Cheeeeeese!"" @ Chick-Fil-A  http://t.co/veVoJBE6EV",ht,[],['http://instagram.com/p/xSa-B5jb8E/'],[],0,0,0,[],[],https://twitter.com/Mami_Ria/status/550417949937647617,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550415579975528450,550415579975528450,2014-12-31 17:17:55 EST,2014-12-31,17:17:55,-0400,214126131,tommyshort95,Tommy Short,"{'type': 'Point', 'coordinates': [37.41086197, -77.7149736]}",Tbt to New Year's Eve last year when a guy at Walmart dropped his 2 liter soda infront of me and it exploded all over me and I was soaked☺️,en,[],[],[],0,0,11,[],[],https://twitter.com/tommyshort95/status/550415579975528450,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550413873933975554,550413873933975554,2014-12-31 17:11:08 EST,2014-12-31,17:11:08,-0400,2389566820,chelsthepup,chels.,"{'type': 'Point', 'coordinates': [40.3990041, -79.98315542]}",just spent $30 on myself for pizza and wings 😂😂😂😂,en,[],[],[],0,0,0,[],[],https://twitter.com/chelsthepup/status/550413873933975554,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550413400283815937,550413400283815937,2014-12-31 17:09:15 EST,2014-12-31,17:09:15,-0400,490726205,jaramillosam95,samuel jaramillo,"{'type': 'Point', 'coordinates': [36.132167, -81.857358]}",Baking Soda 🏂 @ Sugar Mountain Resort  http://t.co/lpoGd2iiCf,in,[],['http://instagram.com/p/xSY5oHGuhR/'],[],0,0,0,[],[],https://twitter.com/jaramillosam95/status/550413400283815937,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
550410637428666371,550404463987806208,2014-12-31 16:58:16 EST,2014-12-31,16:58:16,-0400,757138182,chris301tweets,Chris 〽️,"{'type': 'Point', 'coordinates': [38.96731216, -76.76484362]}",@SamathaMolina @jesusHpls you're addicted to pizza,en,[],[],[],0,0,0,[],[],https://twitter.com/Chris301Tweets/status/550410637428666371,False,,0,,,"38.597626,-80.454903,200mi",,,,,[],,,,
